name,password,unit,lesson,streak,date,lives
lukemurdock,123,1,1,0,0,3
tate.morgan,456,1,1,0,0,0
ahuman,000,1,1,0,0,3
cecily,password,4,8,0,2025-05-07 13:04:53.409576,3
frank,password,1,1,0,2025-05-10 20:00:49.058658,3tate,jjeeeeee,0,1,0,2025-05-14 20:45:59.685665,3
supertcoolname,password,0,1,0,2025-05-14 21:39:28.548602,3
me,password,0,1,0,2025-05-14 21:40:47.486624,3
password,password,0,1,0,2025-05-14 21:41:59.476127,3
interesting,password,0,1,0,2025-05-14 21:45:44.928161,3
Doodle Bob,deez,0,1,0,2025-05-19 13:46:53.830463,3
Porky,Porky,0,1,0,2025-05-19 13:49:48.557270,3
John,1,0,1,0,2025-05-19 13:55:47.313147,3
